"PoiName";"ZoneCode";"PoiDescription";"PoiTypeId";"UsageTypeId";"PropertyTypeId";"PrimaryBrandId";"PrimaryBrandKeyId";"OperatorMasterId";"PoiStatusId";"Latitude";"Longitude"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1819000";"5.7038860"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1807600";"5.7074300"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1818200";"5.7071100"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1813800";"5.7067800"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1812400";"5.7073100"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1812800";"5.7080900"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1806100";"5.7070700"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1805900";"5.7084200"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1802300";"5.7073700"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1808200";"5.7102000"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1809100";"5.7112800"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1809000";"5.7121900"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1811600";"5.7119700"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1817000";"5.7145200"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1807000";"5.7142900"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1809700";"5.7147700"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1810800";"5.7156900"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1814100";"5.7156700"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1828700";"5.7125000"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1837700";"5.7148000"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1841900";"5.7152200"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1845600";"5.7134100"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1849400";"5.7137400"
